condition,marker,rmse,pearson,fid
hyperconv,c_erb_b_2_her2,0.20439360193971046,0.4119789525587762,225.74527386806514
hyperconv,cd20,0.22804873625425348,0.2534225435385338,204.3013910378098
hyperconv,cd3,0.17543712531766126,0.156495161062387,203.6660906262519
hyperconv,cd45,0.3124353906974281,0.43672836038428176,248.78933538005117
hyperconv,cd68,0.1250619221778148,0.11944871921527762,225.72626865993718
hyperconv,cytokeratin_5,0.17191015290607423,0.12427795035898585,240.87315514825775
hyperconv,cytokeratin_8_18,0.12870712778959123,0.2526294645183381,201.04003365379896
hyperconv,estrogen_receptor_alpha,0.5802160558947698,0.6355902263093657,324.4946828210344
hyperconv,ki_67,0.12332599659352922,0.18330362696078586,177.41698865814266
hyperconv,pan_cytokeratin,0.24629022610446424,0.38887819023157355,287.9104405391918
hyperconv,sma,0.14018003898591008,0.3909992020769684,234.77032876019967
