,beta_2_microglobulin,c_erb_b_2_her2_3b5,c_erb_b_2_her2_d8f12,caveolin_1,cd11c,cd134,cd140b_pdgf_receptor_beta,cd15,cd16,cd163,cd20,cd278_icos,cd279_pd_1,cd3,cd31_v_wf,cd38,cd4,cd45,cd45ra,cd57,cd68,cd8a,cleaved_caspase3,cxcl12_sdf_1,cytokeratin_5,cytokeratin_8_18,dna1,dna2,estrogen_receptor_alpha,foxp3,fsp1,gitr_tnfrsf18,histone_h3,hla_abc,hla_dr,ki_67,pan_cytokeratin,podoplanin,sma
beta_2_microglobulin,1.0,0.8302936924983967,0.15110692730873782,0.7410926952021194,0.41433771919388995,0.4852857086263994,-0.0019276242810155133,0.4360704642404462,0.19865583994930214,0.6757865101300751,0.5309763146029732,0.4503611366339171,0.606527339015588,0.7242368993988977,0.6113968326895314,0.6861992556057461,0.6336849337506135,0.37808509693408887,0.5524018470394048,0.5848655537291542,0.7307154296065096,0.4173336594445733,0.7182150527826144,0.7399741440374054,0.6302655123639291,0.6978870952304553,0.6104966745703294,0.5108357291741644,0.7685548895020489,0.46173466767248933,0.2645127302948372,0.6229103414441018,0.19992199220964918,0.5296144625580287,0.4280105861893488,0.4987692137484775,0.6981647013190424,0.6715020029650871,0.6710955905281426
c_erb_b_2_her2_3b5,0.8302936924983967,1.0,0.15950935401266955,0.6383127087551937,0.349971079702494,0.35207932773778067,0.006120171432547504,0.4978636377556986,0.18259016669130881,0.5374941603533556,0.42705363628915693,0.3670582139128716,0.581609459655211,0.6272336846940217,0.7079520180170666,0.6131407407132163,0.4971952735285993,0.2682634330751473,0.5012288324608299,0.4885805189208147,0.6434000920439186,0.38646398225814216,0.6836058681564061,0.7013794901001845,0.544763819967657,0.5753658398156533,0.5779146616588894,0.5461833268177011,0.6765746429252729,0.61706471955642,0.37376429481071394,0.5925959483535208,0.21640126977216703,0.41594761875166797,0.4028144534723026,0.4111015465931434,0.6393522212952039,0.6245310288032498,0.6242472616814358
c_erb_b_2_her2_d8f12,0.15110692730873782,0.15950935401266955,1.0,0.1467353266273563,-0.017912652730545355,0.13398215565802502,0.20820081468277302,0.08189992120709744,0.0794175282474084,0.2559813773780884,0.33925884088790076,0.11491195985403625,0.06771273978810241,0.08764670286133845,0.16330045111588717,0.10728440893606328,0.20216815629222787,0.09204805390160914,0.07719751858992888,0.13377416684761206,0.06946132252571437,0.07733092773353747,0.010948935163096274,0.04368418279977367,0.09128387002545262,0.0911819372889524,-0.008460261305720716,0.05778678785602816,0.18356051743809135,0.17506778485024704,0.18369917664503332,0.10452776609265775,-0.08694295464574568,0.20138328381033296,0.04018358920100329,0.21710338783110833,0.13536994637204142,0.10908227993949002,0.10786567964676903
caveolin_1,0.7410926952021194,0.6383127087551937,0.1467353266273563,1.0,0.5356842549581784,0.4495940040920528,0.013067947026860966,0.5913359810992925,0.408618554311156,0.7704569466938176,0.7003372686233861,0.5514953840496244,0.7118065234194477,0.8702520923390249,0.6342394746868136,0.8461549009610912,0.7666466952499452,0.5034418899796488,0.7497302959759163,0.63856624606028,0.8374060899416158,0.6377704659125554,0.7453760516682946,0.8337691385335291,0.7893967059927974,0.722175350557097,0.7850640133150236,0.5232265259090326,0.7694293966268823,0.4596084399682527,0.22995897099477852,0.7963775641779788,0.2900913505026786,0.46960782086831854,0.605737072633008,0.4707544442894863,0.7480405906608925,0.750133448099558,0.7495343415572538
cd11c,0.41433771919388995,0.349971079702494,-0.017912652730545355,0.5356842549581784,1.0,0.1475333602269226,0.02497046389883248,0.6949100216457235,0.5892062054070498,0.4687405775297409,0.4071868452591179,0.7133585763889908,0.3023230151808938,0.5843852088934874,0.35548544416944206,0.6027900131089766,0.36831391399233576,0.2538219951643081,0.6824824504946296,0.24852885254412016,0.5550407110647422,0.7126432972123782,0.640058702420477,0.6126410737266513,0.5665406751353704,0.22696581159955945,0.54916147918257,0.27471854176734034,0.4341192386473224,0.32355053152995655,0.2047439476388889,0.6313894574293281,0.21953884186839207,0.14628708149398822,0.6939229857661553,0.12089648067757941,0.3293828244897235,0.39704401057372346,0.39633311843633456
cd134,0.4852857086263994,0.35207932773778067,0.13398215565802502,0.4495940040920528,0.1475333602269226,1.0,0.12420514730353212,0.1824365723726924,-0.07596938733618798,0.44327604431460993,0.3894068225531933,0.2088177091108916,0.42547945634035944,0.36578911298681677,0.19775043176676677,0.3472860438872931,0.41655614664050183,0.09973949257658425,0.25633883716970524,0.482979108883257,0.28853438309028917,0.09952256187748018,0.17944156706479447,0.2461706391646454,0.2702515050031725,0.569164052672519,0.18136409710627416,0.19105904625167952,0.35925688350127444,0.25520427211317986,0.2021759714549981,0.3210192098978317,-0.13769454975702575,0.6856665300012053,0.10498874083164239,0.7232902818151291,0.485983080052738,0.3054309807555812,0.30496705735088875
cd140b_pdgf_receptor_beta,-0.0019276242810155133,0.006120171432547504,0.20820081468277302,0.013067947026860966,0.02497046389883248,0.12420514730353212,1.0,0.15185993981725346,-0.00668804129666256,0.07095615220221278,0.06659447629809165,0.11280932147546198,0.08652609002791824,-0.07347596684620965,-0.03861214216188618,-0.006155627339716795,-0.06127014494549853,-0.22659365642518753,-0.008638116190973572,0.07260030902256347,-0.016217721325080026,0.04977214665200884,-0.022424231127925166,-0.04226501157021663,-0.048460302059637,-0.026226691381919152,-0.15619138590464673,-0.08478707247418764,0.00555261321602758,-0.0696396568688059,-0.02220921826017576,0.0577956817989354,-0.30676034953195624,0.11936420534388124,0.05459415002703243,0.14936496108929945,0.0780246313074102,-0.07887454224512007,-0.07870150591114579
cd15,0.4360704642404462,0.4978636377556986,0.08189992120709744,0.5913359810992925,0.6949100216457235,0.1824365723726924,0.15185993981725346,1.0,0.6254706702754659,0.529852848995413,0.5007564466252851,0.6483071991853052,0.3850456021340189,0.6562323735566297,0.5642165032624409,0.6689276020461582,0.4505150905459125,0.33044189890955106,0.7165360873231768,0.3249508121206702,0.607970219435267,0.7227447546862958,0.6285917729949327,0.6478995401579801,0.6238788223053136,0.2964169096868643,0.6384751011251497,0.37506508789990456,0.5378694559765708,0.5183872620518171,0.3294886887805008,0.7147607268652753,0.29030065782214787,0.20722041929427043,0.7154434988004265,0.20358229321447893,0.4503461535764588,0.4538886997361124,0.4531775438969122
cd16,0.19865583994930214,0.18259016669130881,0.0794175282474084,0.408618554311156,0.5892062054070498,-0.07596938733618798,-0.00668804129666256,0.6254706702754659,1.0,0.4903813146170573,0.5366538865182029,0.6065432090700478,0.17312830597417053,0.5136632119132327,0.365370570266554,0.4873049453139379,0.4300167097049998,0.5428772492640772,0.6340311982016975,0.11783523826926988,0.4677736549065048,0.6671270700517269,0.46100208006790083,0.5162986478150238,0.5656707947786802,0.017431828437039963,0.5624549511902931,0.2940484359096421,0.3976438602756775,0.2644122838776368,0.19689838724167485,0.5593341361455294,0.5209343338739421,-0.05861428413978042,0.5864750936935532,-0.055316381342305744,0.22839272607321093,0.2658169035617904,0.2645239735811539
cd163,0.6757865101300751,0.5374941603533556,0.2559813773780884,0.7704569466938176,0.4687405775297409,0.44327604431460993,0.07095615220221278,0.529852848995413,0.4903813146170573,1.0,0.8228786133216281,0.6439517562330868,0.5844084625986626,0.7619364295242226,0.46629040413681017,0.7798676732324622,0.8467449936960284,0.5940278252158024,0.7455370056647345,0.6087702907306476,0.7082467647233861,0.6301088734880372,0.5752289306298224,0.6827136930102179,0.6954361067591989,0.6281503841086576,0.6565815627005295,0.5703712795644941,0.7699790710660199,0.32693993885594047,0.20810377241622718,0.7461928080964607,0.28940891418801445,0.45815323748211995,0.5662650108510299,0.45437503779476246,0.6756512790466795,0.5514919559260779,0.5499743040564591
