,c_erb_b_2_her2,c_myc,carbonic_anhydrase_ix,cd20,cd3,cd44,cd45,cd68,cleaved_parp,cytokeratin_19,cytokeratin_5,cytokeratin_7,cytokeratin_8_18,dna1,dna2,e_cadherin_p_cadherin,egfr,fibronectin,gata3,histone_h3,histone_h3_phospho,histone_h3_trimethylate,keratin_14_krt14,ki_67,m_tor,p53,pan_cytokeratin,progesterone_receptor_a_b,rabbit_ig_g_h_l,s6,slug,sma,twist,v_wf,vimentin
c_erb_b_2_her2,1.0,0.7822796106951251,0.6195318223249494,0.08420960375620454,0.5440435592552386,0.5784248529408209,0.7176184512425987,0.7119326465333201,0.6941460110877664,0.4182072923945079,0.528084011711544,0.6356927073637179,0.7993555809955779,0.6295070041996185,0.733810343827141,0.6396275830554944,0.6931533465180884,0.7510555863146111,0.750633025393548,0.7402621195380178,0.7018077157411952,0.6645749669373732,0.6568151926094451,0.7965949725465356,0.7353260869565217,0.7802641202198212,0.73039591740025,0.6061957670166752,0.7625358430304949,0.7756564472726657,0.5516614423283827,0.6942392754993243,0.8621313547335768,0.7079425254286053,0.7078925990488601
c_myc,0.7822796106951251,1.0,0.7496483393736597,0.3976285574056657,0.7855799499043783,0.739154491319096,0.8520072097077191,0.7569661806198608,0.763864755118965,0.6001934193888431,0.6839770169411207,0.7688889748530617,0.7420957353442502,0.753018944220266,0.7540118505641802,0.738950040980733,0.7784285702197002,0.7886573732679898,0.8089565265746151,0.7854457349815889,0.746009334903254,0.7593745844505317,0.7327025947211013,0.7563278966366787,0.7671402218036841,0.7312698405982462,0.7952283738990206,0.6086272905086688,0.8363260651968405,0.8436675096528363,0.7321464837563979,0.7467336905144714,0.753645532374779,0.6113503635075639,0.6100440573101649
carbonic_anhydrase_ix,0.6195318223249494,0.7496483393736597,1.0,0.2964660766569393,0.6347516615934373,0.5820181318588329,0.7741903283052352,0.6464252470328257,0.9227876146312096,0.6301194787831019,0.5993934186635204,0.7480996545046167,0.6146507631603761,0.6578563933570111,0.6257392247267347,0.6859865839476413,0.6972157883411628,0.6579131498589247,0.7400254527827006,0.7140596553750039,0.6579428578681799,0.6032830221295958,0.6891031445157141,0.6891227282288345,0.683922406185552,0.6867621654751226,0.7771285199306591,0.5402872338367879,0.732178337511998,0.687347138239255,0.707478923330972,0.6140194301864804,0.6238968143826658,0.5552976059515146,0.5539905744314074
cd20,0.08420960375620454,0.3976285574056657,0.2964660766569393,1.0,0.38546976129629673,0.28850097555904247,0.3749195496229531,0.3093257460548489,0.2709161913788143,0.41369874688413455,0.4458891428861558,0.33324891382924454,0.030151453425820037,0.37688378396021366,0.14937806599953096,0.22133911496123151,0.3205838424695788,0.2484584474709206,0.31444981854843584,0.29961016926614265,0.28429890911464695,0.24015543665635902,0.2739231677743956,0.23213152397554213,0.14527500610479946,0.16112436504041255,0.3013826161906535,0.2778215657783075,0.2861132132037746,0.2653165791846889,0.29747010461571194,0.22633223648421577,0.142029519425351,0.07276960245062365,0.07103079236670382
cd3,0.5440435592552386,0.7855799499043783,0.6347516615934373,0.38546976129629673,1.0,0.8479320142936928,0.7285100179154709,0.5403922242987943,0.5908456718785133,0.5412884511700664,0.49891558210773945,0.6359877021534831,0.6437618016048974,0.5416173547964381,0.5638334151336165,0.5993546743421927,0.6897062503475505,0.6356128009787021,0.6346276011885621,0.5638540566090197,0.5346423191951819,0.7730230725153466,0.5224283381164336,0.5680056224598594,0.728517120033655,0.6071911515465089,0.6116379237395705,0.39957378224361656,0.6465129808587338,0.7478651334956444,0.8265234496831548,0.8799835714406602,0.5710237506920788,0.465256286734573,0.464169874204865
cd44,0.5784248529408209,0.739154491319096,0.5820181318588329,0.28850097555904247,0.8479320142936928,1.0,0.7149767352741357,0.5297300107105987,0.5715137364032215,0.535861496002263,0.4807059021926505,0.5965275779782355,0.6466386430179227,0.5091650870749911,0.5311301555333661,0.5723934319611034,0.7054403434161249,0.6702906912083635,0.5923695748883607,0.5315641705088623,0.5415103092534254,0.8091255267656168,0.5064450060322672,0.5294176988411761,0.7459638511250964,0.589616703214872,0.565083508821133,0.38297867067689534,0.6179985505634549,0.7694958886291159,0.7552018633540373,0.8496705221598176,0.56814956879565,0.490920863665926,0.4903704646175494
cd45,0.7176184512425987,0.8520072097077191,0.7741903283052352,0.3749195496229531,0.7285100179154709,0.7149767352741357,1.0,0.8171330894637205,0.8119719348466788,0.59557580347623,0.7164192510317715,0.9083851233894814,0.7694276478509897,0.8421182807917623,0.7583695591730354,0.8670251977108815,0.8858041048429797,0.786020734558484,0.9168557441931873,0.8032593282544626,0.8353609024465135,0.8203434282136027,0.8350372271879964,0.7962717203929315,0.7741544852747402,0.8153852128459487,0.8930576945859495,0.6089276647751862,0.8993318568986651,0.8830055076170973,0.7152542920971255,0.6972881695030814,0.7383615927119574,0.5653366162245019,0.5632689327359898
cd68,0.7119326465333201,0.7569661806198608,0.6464252470328257,0.3093257460548489,0.5403922242987943,0.5297300107105987,0.8171330894637205,1.0,0.7252504781085518,0.5496058475516732,0.7428135026075351,0.7650430116365939,0.6648382590804359,0.8354996204144494,0.6775380854865344,0.7469206424425,0.6997956403269755,0.7024900026353392,0.7874430621674093,0.8279695920543315,0.8459300027320489,0.6179964652606689,0.7226285271838863,0.7248607682618124,0.6066613033081969,0.7065147276775893,0.7522375298893399,0.5056658281130246,0.8295289452115404,0.7265983392527725,0.5672699639031066,0.5528536613081437,0.7124761550159692,0.5937895149767051,0.5925817015587185
cleaved_parp,0.6941460110877664,0.763864755118965,0.9227876146312096,0.2709161913788143,0.5908456718785133,0.5715137364032215,0.8119719348466788,0.7252504781085518,1.0,0.6565404766337289,0.6744719046248994,0.8072895838823624,0.6776631129883537,0.7430717174916407,0.6773899685451719,0.7323609677255573,0.7380988445609259,0.7213664354499056,0.7879583132862196,0.7621231041877715,0.7279555691486403,0.6168851499846474,0.7690932740825273,0.7517330377240341,0.7026952991835284,0.7268673735339415,0.8333643005834013,0.6335342074277881,0.7955760150286865,0.7232822242746169,0.6670143480920386,0.6124573872908955,0.7045779347161207,0.5947212524388976,0.5934690130050362
cytokeratin_19,0.4182072923945079,0.6001934193888431,0.6301194787831019,0.41369874688413455,0.5412884511700664,0.535861496002263,0.59557580347623,0.5496058475516732,0.6565404766337289,1.0,0.6729855975087583,0.5604702146229893,0.43621768989552934,0.4948419582262475,0.5021810453834419,0.4457163045291568,0.5125701749720146,0.5129978131520349,0.4586524954727774,0.49327275276891946,0.43712186509481177,0.45756170078504094,0.42867799056596934,0.42085535493666726,0.4620918246459821,0.39696337603872256,0.5330285366130815,0.3686887857856091,0.5127282953223938,0.47554426402713673,0.5402612733281916,0.45791991953753425,0.401645303898126,0.3787330546482306,0.3776302014704709
cytokeratin_5,0.528084011711544,0.6839770169411207,0.5993934186635204,0.4458891428861558,0.49891558210773945,0.4807059021926505,0.7164192510317715,0.7428135026075351,0.6744719046248994,0.6729855975087583,1.0,0.7162071243614138,0.5257505578940497,0.7571835658798527,0.6276384822380557,0.659451649988274,0.6479509935712231,0.5895571360874643,0.6311440877737187,0.6981208399720509,0.6975280095452469,0.5432939986799127,0.6138751816328948,0.5770376128179029,0.47422789397716203,0.541663624340863,0.6677122596461876,0.4587703604128537,0.7134716906547005,0.6098907422227272,0.5240932559494595,0.4270366457209587,0.5107581072945705,0.4579248154658143,0.45677487675558315
cytokeratin_7,0.6356927073637179,0.7688889748530617,0.7480996545046167,0.33324891382924454,0.6359877021534831,0.5965275779782355,0.9083851233894814,0.7650430116365939,0.8072895838823624,0.5604702146229893,0.7162071243614138,1.0,0.7255619135463687,0.8364270361621725,0.7204767062612274,0.8624702315471858,0.8278060015618616,0.7247058211982814,0.8730859338167206,0.7816610917557403,0.7911776883481743,0.7262763261921283,0.8223024946265676,0.7859115130473466,0.7027362194729805,0.760363259745315,0.8863031873097539,0.6111681261771383,0.8573351583258585,0.7877807301098381,0.6411648440918839,0.6076854891939005,0.6833088133962268,0.5440368500201882,0.5421080960520684
cytokeratin_8_18,0.7993555809955779,0.7420957353442502,0.6146507631603761,0.030151453425820037,0.6437618016048974,0.6466386430179227,0.7694276478509897,0.6648382590804359,0.6776631129883537,0.43621768989552934,0.5257505578940497,0.7255619135463687,1.0,0.624041516262944,0.7644046067662937,0.7577116310331738,0.746155336320051,0.7548290172602627,0.7580202256237171,0.6904743066519345,0.6630972125848326,0.7522789639490437,0.6511352509253909,0.781392389914146,0.8034155144109534,0.813274553986978,0.7479488176030986,0.6189109763085426,0.7780381954938118,0.7941555007265316,0.6092861857454746,0.7406203685122906,0.8249397075498841,0.6820478096463085,0.6816496377013073
dna1,0.6295070041996185,0.753018944220266,0.6578563933570111,0.37688378396021366,0.5416173547964381,0.5091650870749911,0.8421182807917623,0.8354996204144494,0.7430717174916407,0.4948419582262475,0.7571835658798527,0.8364270361621725,0.624041516262944,1.0,0.6763986639555716,0.8138480726966772,0.7520673510489375,0.6701173088593333,0.8394625419176082,0.795565135188064,0.8765254443206023,0.6394974782947179,0.8285731209910809,0.7116587163238711,0.582159962670058,0.6973896542386651,0.8341714940922466,0.5366817150980757,0.8532396840977832,0.7432393577025646,0.5805906665473913,0.5082238599740334,0.6266771274319466,0.519013518806409,0.5170174911571073
dna2,0.733810343827141,0.7540118505641802,0.6257392247267347,0.14937806599953096,0.5638334151336165,0.5311301555333661,0.7583695591730354,0.6775380854865344,0.6773899685451719,0.5021810453834419,0.6276384822380557,0.7204767062612274,0.7644046067662937,0.6763986639555716,1.0,0.7176560773580846,0.7233438767048106,0.7286439306204652,0.7434239221100121,0.6911515465089009,0.6821813294681692,0.6682182931222483,0.6637082969664586,0.7008370526269979,0.663103921819883,0.6928200607336881,0.7633614718248394,0.5824985674876514,0.820892316173004,0.8148121474629421,0.5773166505080886,0.5817118643453116,0.7366235381725252,0.5690428943760895,0.5682488171195501
e_cadherin_p_cadherin,0.6396275830554944,0.738950040980733,0.6859865839476413,0.22133911496123151,0.5993546743421927,0.5723934319611034,0.8670251977108815,0.7469206424425,0.7323609677255573,0.4457163045291568,0.659451649988274,0.8624702315471858,0.7577116310331738,0.8138480726966772,0.7176560773580846,1.0,0.7890614384599949,0.6841896876035096,0.8751352122415131,0.7805167440747179,0.7983916573382107,0.7211489897463547,0.7915719616836191,0.7655010227050185,0.7246149745290842,0.8172669719469354,0.8205768914602922,0.527313930547933,0.8663588679163171,0.7842755174573087,0.619458081182953,0.5699694639139864,0.6600055849848528,0.5740677185457763,0.5724112930327918
egfr,0.6931533465180884,0.7784285702197002,0.6972157883411628,0.3205838424695788,0.6897062503475505,0.7054403434161249,0.8858041048429797,0.6997956403269755,0.7380988445609259,0.5125701749720146,0.6479509935712231,0.8278060015618616,0.746155336320051,0.7520673510489375,0.7233438767048106,0.7890614384599949,1.0,0.7752951761204423,0.830914613801924,0.7428769079009403,0.7677976361732941,0.8635634741990624,0.7709317858170398,0.7427651779821038,0.7532127867140221,0.7393244586070419,0.8037949790744399,0.5981307224939496,0.8273508917842697,0.8153378855392411,0.6047344230904066,0.702058072962629,0.7055412237161184,0.5429489566232844,0.5413954060477407
fibronectin,0.7510555863146111,0.7886573732679898,0.6579131498589247,0.2484584474709206,0.6356128009787021,0.6702906912083635,0.786020734558484,0.7024900026353392,0.7213664354499056,0.5129978131520349,0.5895571360874643,0.7247058211982814,0.7548290172602627,0.6701173088593333,0.7286439306204652,0.6841896876035096,0.7752951761204423,1.0,0.7843381369844467,0.7507026563735315,0.7050223762055468,0.7354423199205047,0.7166579728680952,0.7693153437183426,0.7036580441914949,0.7173117606241644,0.7663274977091891,0.6789287406705367,0.7819227519227097,0.8190096806404116,0.599953005132867,0.6981180293465568,0.8048124859468725,0.6376221866545457,0.6369986811215423
gata3,0.750633025393548,0.8089565265746151,0.7400254527827006,0.31444981854843584,0.6346276011885621,0.5923695748883607,0.9168557441931873,0.7874430621674093,0.7879583132862196,0.4586524954727774,0.6311440877737187,0.8730859338167206,0.7580202256237171,0.8394625419176082,0.7434239221100121,0.8751352122415131,0.830914613801924,0.7843381369844467,1.0,0.8529424528963344,0.8381473505170342,0.736986139083047,0.8797529490412442,0.8644124644289655,0.7550159389665119,0.8554825934638753,0.9222470376611728,0.6686079425254287,0.9065611181091321,0.8634633494435566,0.6483236885561001,0.6374103319802035,0.788139341745465,0.5912659963878929,0.5895547485668832
histone_h3,0.7402621195380178,0.7854457349815889,0.7140596553750039,0.29961016926614265,0.5638540566090197,0.5315641705088623,0.8032593282544626,0.8279695920543315,0.7621231041877715,0.49327275276891946,0.6981208399720509,0.7816610917557403,0.6904743066519345,0.795565135188064,0.6911515465089009,0.7805167440747179,0.7428769079009403,0.7507026563735315,0.8529424528963344,1.0,0.8559510914897887,0.6393543177251946,0.7668092630963059,0.793803175221042,0.6854174776177501,0.7775080450377047,0.7893964166640475,0.5290703297075257,0.8553159807934547,0.7415873747911675,0.6052234114828255,0.5910818853071379,0.7335646709815309,0.6706751726872481,0.6694970370567371
histone_h3_phospho,0.7018077157411952,0.746009334903254,0.6579428578681799,0.28429890911464695,0.5346423191951819,0.5415103092534254,0.8353609024465135,0.8459300027320489,0.7279555691486403,0.43712186509481177,0.6975280095452469,0.7911776883481743,0.6630972125848326,0.8765254443206023,0.6821813294681692,0.7983916573382107,0.7677976361732941,0.7050223762055468,0.8381473505170342,0.8559510914897887,1.0,0.6903997495218914,0.8598852116370775,0.7217520653564115,0.6369366660299945,0.737167681312544,0.7936105415984662,0.5095759823891647,0.8552333242265038,0.7588344003636285,0.5786778394570717,0.5478297740136215,0.6704596007340266,0.5977912412447505,0.5961448191407828
histone_h3_trimethylate,0.6645749669373732,0.7593745844505317,0.6032830221295958,0.24015543665635902,0.7730230725153466,0.8091255267656168,0.8203434282136027,0.6179964652606689,0.6168851499846474,0.45756170078504094,0.5432939986799127,0.7262763261921283,0.7522789639490437,0.6394974782947179,0.6682182931222483,0.7211489897463547,0.8635634741990624,0.7354423199205047,0.736986139083047,0.6393543177251946,0.6903997495218914,1.0,0.678027889867,0.6402210179178887,0.7907240594377782,0.7203236933915848,0.6834776927001105,0.4574412065501476,0.7431059587678218,0.8078219707501529,0.6640944708649957,0.775314366950429,0.6316114373720108,0.5513941004668661,0.5500162593173746
keratin_14_krt14,0.6568151926094451,0.7327025947211013,0.6891031445157141,0.2739231677743956,0.5224283381164336,0.5064450060322672,0.8350372271879964,0.7226285271838863,0.7690932740825273,0.42867799056596934,0.6138751816328948,0.8223024946265676,0.6511352509253909,0.8285731209910809,0.6637082969664586,0.7915719616836191,0.7709317858170398,0.7166579728680952,0.8797529490412442,0.7668092630963059,0.8598852116370775,0.678027889867,1.0,0.7607382213636551,0.6314974408197114,0.7193513680795147,0.8590204154164924,0.6614033725088188,0.8239521202391631,0.7396403064246668,0.546118888853966,0.504754127690645,0.6588351559081161,0.5126414379280915,0.5107335369878315
ki_67,0.7965949725465356,0.7563278966366787,0.6891227282288345,0.23213152397554213,0.5680056224598594,0.5294176988411761,0.7962717203929315,0.7248607682618124,0.7517330377240341,0.42085535493666726,0.5770376128179029,0.7859115130473466,0.781392389914146,0.7116587163238711,0.7008370526269979,0.7655010227050185,0.7427651779821038,0.7693153437183426,0.8644124644289655,0.793803175221042,0.7217520653564115,0.6402210179178887,0.7607382213636551,1.0,0.7459371350720124,0.8344177713734469,0.8521357731577408,0.7154310895072399,0.8351527952728302,0.7784759277481873,0.5794178197282941,0.663059193586213,0.8629763859103646,0.6658743825690446,0.6653875097011912
m_tor,0.7353260869565217,0.7671402218036841,0.683922406185552,0.14527500610479946,0.728517120033655,0.7459638511250964,0.7741544852747402,0.6066613033081969,0.7026952991835284,0.4620918246459821,0.47422789397716203,0.7027362194729805,0.8034155144109534,0.582159962670058,0.663103921819883,0.7246149745290842,0.7532127867140221,0.7036580441914949,0.7550159389665119,0.6854174776177501,0.6369366660299945,0.7907240594377782,0.6314974408197114,0.7459371350720124,1.0,0.847979794927093,0.7293976013578041,0.518068997531485,0.7560198762599459,0.7816185092684154,0.680200714926416,0.7899537667217106,0.7255169435384626,0.6510458851233895,0.6504678633685437
p53,0.7802641202198212,0.7312698405982462,0.6867621654751226,0.16112436504041255,0.6071911515465089,0.589616703214872,0.8153852128459487,0.7065147276775893,0.7268673735339415,0.39696337603872256,0.541663624340863,0.760363259745315,0.813274553986978,0.6973896542386651,0.6928200607336881,0.8172669719469354,0.7393244586070419,0.7173117606241644,0.8554825934638753,0.7775080450377047,0.737167681312544,0.7203236933915848,0.7193513680795147,0.8344177713734469,0.847979794927093,1.0,0.7956383625598089,0.6019064200730642,0.8396883288323029,0.7866013856081469,0.6130990258916029,0.675217868808464,0.7890972512687103,0.7159756557521717,0.7152100171901482
pan_cytokeratin,0.73039591740025,0.7952283738990206,0.7771285199306591,0.3013826161906535,0.6116379237395705,0.565083508821133,0.8930576945859495,0.7522375298893399,0.8333643005834013,0.5330285366130815,0.6677122596461876,0.8863031873097539,0.7479488176030986,0.8341714940922466,0.7633614718248394,0.8205768914602922,0.8037949790744399,0.7663274977091891,0.9222470376611728,0.7893964166640475,0.7936105415984662,0.6834776927001105,0.8590204154164924,0.8521357731577408,0.7293976013578041,0.7956383625598089,1.0,0.7233466571085252,0.8811909617537336,0.8342354433776827,0.6514494365451429,0.6145882040767972,0.7700341989656898,0.5721926384580607,0.5705034223143114
progesterone_receptor_a_b,0.6061957670166752,0.6086272905086688,0.5402872338367879,0.2778215657783075,0.39957378224361656,0.38297867067689534,0.6089276647751862,0.5056658281130246,0.6335342074277881,0.3686887857856091,0.4587703604128537,0.6111681261771383,0.6189109763085426,0.5366817150980757,0.5824985674876514,0.527313930547933,0.5981307224939496,0.6789287406705367,0.6686079425254287,0.5290703297075257,0.5095759823891647,0.4574412065501476,0.6614033725088188,0.7154310895072399,0.518068997531485,0.6019064200730642,0.7233466571085252,1.0,0.6387837909716665,0.6095700286986018,0.3815596674637157,0.46737008865861235,0.758190797347253,0.44914780626146916,0.4487640501052927
rabbit_ig_g_h_l,0.7625358430304949,0.8363260651968405,0.732178337511998,0.2861132132037746,0.6465129808587338,0.6179985505634549,0.8993318568986651,0.8295289452115404,0.7955760150286865,0.5127282953223938,0.7134716906547005,0.8573351583258585,0.7780381954938118,0.8532396840977832,0.820892316173004,0.8663588679163171,0.8273508917842697,0.7819227519227097,0.9065611181091321,0.8553159807934547,0.8552333242265038,0.7431059587678218,0.8239521202391631,0.8351527952728302,0.7560198762599459,0.8396883288323029,0.8811909617537336,0.6387837909716665,1.0,0.8843235398649449,0.6584734314292,0.667431438871011,0.8004093540034187,0.6468113907095832,0.6456080501149637
